,joint_str,wrkt_str,target,output
282,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell,go pick up sunglasses,Chores,1
283,Jaseci open source update jaseci-serv actions,clarity lab research meeting,Research,-1
284,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,clarity lab research meeting,Research,-1
285,Jaseci JPS,clarity lab research meeting,Research,-1
286,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,clarity lab research meeting,Research,-1
287,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,clarity lab research meeting,Research,-1
288,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,clarity lab research meeting,Research,-1
289,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,clarity lab research meeting,Research,-1
290,ME Relationship facetime with parents special dinner with JaLi,clarity lab research meeting,Research,-1
291,ME Health,clarity lab research meeting,Research,-1
292,ME interests group find more volunteering opportunities,clarity lab research meeting,Research,-1
293,ME Get in shape Relationship Health learn keyboard for 30 min interests group,clarity lab research meeting,Research,-1
294,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,clarity lab research meeting,Research,-1
295,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,clarity lab research meeting,Research,-1
296,Research EAR,clarity lab research meeting,Research,1
297,Jaseci open source update jaseci-serv actions,Jaseci Research Daily,ASPLOS/CAL,-1
298,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Jaseci Research Daily,ASPLOS/CAL,-1
299,Jaseci JPS,Jaseci Research Daily,ASPLOS/CAL,-1
300,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Jaseci Research Daily,ASPLOS/CAL,-1
301,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Jaseci Research Daily,ASPLOS/CAL,-1
302,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Jaseci Research Daily,ASPLOS/CAL,-1
303,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,Jaseci Research Daily,ASPLOS/CAL,-1
304,ME Relationship facetime with parents special dinner with JaLi,Jaseci Research Daily,ASPLOS/CAL,-1
305,ME Health,Jaseci Research Daily,ASPLOS/CAL,-1
306,ME interests group find more volunteering opportunities,Jaseci Research Daily,ASPLOS/CAL,-1
307,ME Get in shape Relationship Health learn keyboard for 30 min interests group,Jaseci Research Daily,ASPLOS/CAL,-1
308,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,Jaseci Research Daily,ASPLOS/CAL,-1
309,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Jaseci Research Daily,ASPLOS/CAL,-1
310,Research NS2.0 notes,Jaseci Research Daily,ASPLOS/CAL,-1
311,Research ASPLOS/CAL,Jaseci Research Daily,ASPLOS/CAL,1
312,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL,Jaseci Research Daily,ASPLOS/CAL,-1
313,Jaseci open source update jaseci-serv actions,lit search,ASPLOS/CAL,-1
314,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,lit search,ASPLOS/CAL,-1
315,Jaseci JPS,lit search,ASPLOS/CAL,-1
316,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,lit search,ASPLOS/CAL,-1
317,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,lit search,ASPLOS/CAL,-1
318,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,lit search,ASPLOS/CAL,-1
319,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,lit search,ASPLOS/CAL,-1
320,ME Relationship facetime with parents special dinner with JaLi,lit search,ASPLOS/CAL,-1
321,ME Health,lit search,ASPLOS/CAL,-1
322,ME interests group find more volunteering opportunities,lit search,ASPLOS/CAL,-1
323,ME Get in shape Relationship Health learn keyboard for 30 min interests group,lit search,ASPLOS/CAL,-1
324,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,lit search,ASPLOS/CAL,-1
325,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,lit search,ASPLOS/CAL,-1
326,Research NS2.0 notes,lit search,ASPLOS/CAL,-1
327,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access,lit search,ASPLOS/CAL,1
328,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL,lit search,ASPLOS/CAL,-1
329,Jaseci open source update jaseci-serv actions,read GPT,GAN-GPT,-1
330,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,read GPT,GAN-GPT,-1
331,Jaseci JPS,read GPT,GAN-GPT,-1
332,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,read GPT,GAN-GPT,-1
333,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,read GPT,GAN-GPT,-1
334,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,read GPT,GAN-GPT,-1
335,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,read GPT,GAN-GPT,-1
336,ME Relationship facetime with parents special dinner with JaLi,read GPT,GAN-GPT,-1
337,ME Health,read GPT,GAN-GPT,-1
338,ME interests group find more volunteering opportunities,read GPT,GAN-GPT,-1
339,ME Get in shape Relationship Health learn keyboard for 30 min interests group,read GPT,GAN-GPT,-1
340,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,read GPT,GAN-GPT,-1
341,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,read GPT,GAN-GPT,-1
342,Research NS2.0 notes,read GPT,GAN-GPT,-1
343,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,read GPT,GAN-GPT,-1
344,Research GAN-GPT,read GPT,GAN-GPT,1
345,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT,read GPT,GAN-GPT,-1
346,Jaseci open source update jaseci-serv actions,read Electra,GAN-GPT,-1
347,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,read Electra,GAN-GPT,-1
348,Jaseci JPS,read Electra,GAN-GPT,-1
349,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,read Electra,GAN-GPT,-1
350,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,read Electra,GAN-GPT,-1
351,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,read Electra,GAN-GPT,-1
352,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,read Electra,GAN-GPT,-1
353,ME Relationship facetime with parents special dinner with JaLi,read Electra,GAN-GPT,-1
354,ME Health,read Electra,GAN-GPT,-1
355,ME interests group find more volunteering opportunities,read Electra,GAN-GPT,-1
356,ME Get in shape Relationship Health learn keyboard for 30 min interests group,read Electra,GAN-GPT,-1
357,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,read Electra,GAN-GPT,-1
358,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,read Electra,GAN-GPT,-1
359,Research NS2.0 notes,read Electra,GAN-GPT,-1
360,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,read Electra,GAN-GPT,-1
361,Research GAN-GPT read GPT,read Electra,GAN-GPT,1
362,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT,read Electra,GAN-GPT,-1
363,Jaseci open source update jaseci-serv actions,standup with Mahendra,Research,-1
364,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,standup with Mahendra,Research,-1
365,Jaseci JPS,standup with Mahendra,Research,-1
366,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,standup with Mahendra,Research,-1
367,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,standup with Mahendra,Research,-1
368,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,standup with Mahendra,Research,-1
369,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,standup with Mahendra,Research,-1
370,ME Relationship facetime with parents special dinner with JaLi,standup with Mahendra,Research,-1
